Step 400/600000, Total Loss: 6.3336, Mel Loss: 2.5840, Mel PostNet Loss: 2.2365, Pitch Loss: 0.9675, Energy Loss: 0.4015, Duration Loss: 0.1442
Step 500/600000, Total Loss: 4.5366, Mel Loss: 1.5229, Mel PostNet Loss: 1.6626, Pitch Loss: 0.8531, Energy Loss: 0.3692, Duration Loss: 0.1287
Step 600/600000, Total Loss: 4.4877, Mel Loss: 1.2080, Mel PostNet Loss: 1.7312, Pitch Loss: 0.9645, Energy Loss: 0.4693, Duration Loss: 0.1146
Step 700/600000, Total Loss: 4.0023, Mel Loss: 1.2035, Mel PostNet Loss: 1.4087, Pitch Loss: 0.7971, Energy Loss: 0.4894, Duration Loss: 0.1035
Step 800/600000, Total Loss: 3.7742, Mel Loss: 1.0469, Mel PostNet Loss: 1.3088, Pitch Loss: 0.9989, Energy Loss: 0.3176, Duration Loss: 0.1019
Step 900/600000, Total Loss: 3.3882, Mel Loss: 0.9595, Mel PostNet Loss: 1.0978, Pitch Loss: 0.9116, Energy Loss: 0.3188, Duration Loss: 0.1004
Step 1000/600000, Total Loss: 3.3069, Mel Loss: 0.9163, Mel PostNet Loss: 1.0153, Pitch Loss: 0.9522, Energy Loss: 0.3257, Duration Loss: 0.0974
Step 1100/600000, Total Loss: 3.1256, Mel Loss: 0.8627, Mel PostNet Loss: 0.9375, Pitch Loss: 0.8891, Energy Loss: 0.3339, Duration Loss: 0.1024
Step 1200/600000, Total Loss: 3.3224, Mel Loss: 0.9213, Mel PostNet Loss: 0.9584, Pitch Loss: 0.9769, Energy Loss: 0.3698, Duration Loss: 0.0960
Step 1300/600000, Total Loss: 3.0811, Mel Loss: 0.8648, Mel PostNet Loss: 0.9026, Pitch Loss: 0.8158, Energy Loss: 0.4046, Duration Loss: 0.0933
Step 1400/600000, Total Loss: 2.8102, Mel Loss: 0.7672, Mel PostNet Loss: 0.8191, Pitch Loss: 0.8494, Energy Loss: 0.2853, Duration Loss: 0.0892
Step 1500/600000, Total Loss: 2.8708, Mel Loss: 0.7667, Mel PostNet Loss: 0.8010, Pitch Loss: 0.9168, Energy Loss: 0.2960, Duration Loss: 0.0903
Step 1600/600000, Total Loss: 2.7594, Mel Loss: 0.7337, Mel PostNet Loss: 0.7720, Pitch Loss: 0.8344, Energy Loss: 0.3322, Duration Loss: 0.0872
Step 1700/600000, Total Loss: 2.5418, Mel Loss: 0.7223, Mel PostNet Loss: 0.7460, Pitch Loss: 0.6958, Energy Loss: 0.3014, Duration Loss: 0.0763
Step 1800/600000, Total Loss: 2.9255, Mel Loss: 0.7793, Mel PostNet Loss: 0.8127, Pitch Loss: 0.8802, Energy Loss: 0.3688, Duration Loss: 0.0846
Step 1900/600000, Total Loss: 2.5090, Mel Loss: 0.7076, Mel PostNet Loss: 0.7551, Pitch Loss: 0.6935, Energy Loss: 0.2608, Duration Loss: 0.0920
Step 2000/600000, Total Loss: 2.6719, Mel Loss: 0.7029, Mel PostNet Loss: 0.7321, Pitch Loss: 0.8891, Energy Loss: 0.2630, Duration Loss: 0.0847
Step 2100/600000, Total Loss: 2.5053, Mel Loss: 0.6982, Mel PostNet Loss: 0.7076, Pitch Loss: 0.7330, Energy Loss: 0.2865, Duration Loss: 0.0799
Step 100/600000, Total Loss: 50.6685, Mel Loss: 26.7316, Mel PostNet Loss: 21.2650, Pitch Loss: 1.2351, Energy Loss: 1.0158, Duration Loss: 0.4210
Step 200/600000, Total Loss: 36.4570, Mel Loss: 19.3155, Mel PostNet Loss: 14.8226, Pitch Loss: 1.1039, Energy Loss: 0.8809, Duration Loss: 0.3340
Step 300/600000, Total Loss: 15.6831, Mel Loss: 7.6280, Mel PostNet Loss: 6.0941, Pitch Loss: 1.1401, Energy Loss: 0.6411, Duration Loss: 0.1798
Step 400/600000, Total Loss: 8.1806, Mel Loss: 3.6076, Mel PostNet Loss: 2.9820, Pitch Loss: 0.9652, Energy Loss: 0.4766, Duration Loss: 0.1492
Step 500/600000, Total Loss: 7.0214, Mel Loss: 2.8242, Mel PostNet Loss: 2.5485, Pitch Loss: 1.0992, Energy Loss: 0.4128, Duration Loss: 0.1368
Step 100/600000, Total Loss: 31.3951, Mel Loss: 16.6167, Mel PostNet Loss: 12.2995, Pitch Loss: 1.1641, Energy Loss: 1.0423, Duration Loss: 0.2725
Step 200/600000, Total Loss: 22.1112, Mel Loss: 11.7171, Mel PostNet Loss: 8.5112, Pitch Loss: 1.0004, Energy Loss: 0.6826, Duration Loss: 0.1999
Step 300/600000, Total Loss: 10.8646, Mel Loss: 5.3092, Mel PostNet Loss: 3.9573, Pitch Loss: 1.0239, Energy Loss: 0.4275, Duration Loss: 0.1467
Step 400/600000, Total Loss: 6.0287, Mel Loss: 2.4227, Mel PostNet Loss: 2.0319, Pitch Loss: 1.0441, Energy Loss: 0.4037, Duration Loss: 0.1263
Step 500/600000, Total Loss: 4.4336, Mel Loss: 1.4933, Mel PostNet Loss: 1.5932, Pitch Loss: 0.8554, Energy Loss: 0.3655, Duration Loss: 0.1262
Step 600/600000, Total Loss: 4.6718, Mel Loss: 1.2747, Mel PostNet Loss: 1.7918, Pitch Loss: 1.0473, Energy Loss: 0.4515, Duration Loss: 0.1065
Step 700/600000, Total Loss: 4.1921, Mel Loss: 1.1022, Mel PostNet Loss: 1.5001, Pitch Loss: 1.0277, Energy Loss: 0.4461, Duration Loss: 0.1159
Step 800/600000, Total Loss: 3.8714, Mel Loss: 1.1553, Mel PostNet Loss: 1.1801, Pitch Loss: 1.0373, Energy Loss: 0.3935, Duration Loss: 0.1052
Step 900/600000, Total Loss: 3.3884, Mel Loss: 0.9183, Mel PostNet Loss: 1.1142, Pitch Loss: 0.9346, Energy Loss: 0.3210, Duration Loss: 0.1003
Step 1000/600000, Total Loss: 3.3257, Mel Loss: 0.9002, Mel PostNet Loss: 1.0551, Pitch Loss: 0.9644, Energy Loss: 0.3062, Duration Loss: 0.0998
Step 1100/600000, Total Loss: 3.1403, Mel Loss: 0.8892, Mel PostNet Loss: 1.0255, Pitch Loss: 0.7798, Energy Loss: 0.3493, Duration Loss: 0.0966
Step 1200/600000, Total Loss: 3.4642, Mel Loss: 0.8759, Mel PostNet Loss: 1.2643, Pitch Loss: 0.8286, Energy Loss: 0.3989, Duration Loss: 0.0966
